Fund Holdings as of,"Apr 28, 2022"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"ON","ON SEMICONDUCTOR CORP","Equity","0.06","54.48","7,808.00","425,379.84","425,379.84","Information Technology","US6821891057","NASDAQ","United States","USD"
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.06","240.66","1,766.00","425,005.56","425,005.56","Health Care","US50540R4092","New York Stock Exchange Inc.","United States","USD"
"FANG","DIAMONDBACK ENERGY INC","Equity","0.06","129.47","3,274.00","423,884.78","423,884.78","Energy","US25278X1090","NASDAQ","United States","USD"
"URI","UNITED RENTALS INC","Equity","0.06","318.50","1,330.00","423,605.00","423,605.00","Industrials","US9113631090","New York Stock Exchange Inc.","United States","USD"
"ALGN","ALIGN TECHNOLOGY INC","Equity","0.06","304.66","1,389.00","423,172.74","423,172.74","Health Care","US0162551016","NASDAQ","United States","USD"
"SYF","SYNCHRONY FINANCIAL","Equity","0.06","38.07","11,108.00","422,881.56","422,881.56","Financials","US87165B1035","New York Stock Exchange Inc.","United States","USD"
"DRE","DUKE REALTY REIT CORP","Equity","0.06","59.95","7,034.00","421,688.30","421,688.30","Real Estate","US2644115055","New York Stock Exchange Inc.","United States","USD"
"ZM","ZOOM VIDEO COMMUNICATIONS INC CLAS","Equity","0.06","102.56","4,080.00","418,444.80","418,444.80","Information Technology","US98980L1017","NASDAQ","United States","USD"
"MDB","MONGODB INC CLASS A","Equity","0.06","377.65","1,105.00","417,303.25","417,303.25","Information Technology","US60937P1066","NASDAQ","United States","USD"
"FLT","FLEETCOR TECHNOLOGIES INC","Equity","0.06","259.07","1,607.00","416,325.49","416,325.49","Information Technology","US3390411052","New York Stock Exchange Inc.","United States","USD"
"PPL","PPL CORP","Equity","0.06","29.14","14,235.00","414,807.90","414,807.90","Utilities","US69351T1060","New York Stock Exchange Inc.","United States","USD"
"VTR","VENTAS REIT INC","Equity","0.06","57.65","7,142.00","411,736.30","411,736.30","Real Estate","US92276F1003","New York Stock Exchange Inc.","United States","USD"
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.06","136.00","3,012.00","409,632.00","409,632.00","Financials","US1720621010","NASDAQ","United States","USD"
"HPE","HEWLETT PACKARD ENTERPRISE","Equity","0.06","15.70","25,905.00","406,708.50","406,708.50","Information Technology","US42824C1099","New York Stock Exchange Inc.","United States","USD"
"LEN","LENNAR A CORP","Equity","0.06","78.59","5,159.00","405,445.81","405,445.81","Consumer Discretionary","US5260571048","New York Stock Exchange Inc.","United States","USD"
"CF","CF INDUSTRIES HOLDINGS INC","Equity","0.05","98.54","4,097.00","403,718.38","403,718.38","Materials","US1252691001","New York Stock Exchange Inc.","United States","USD"
"ENPH","ENPHASE ENERGY INC","Equity","0.05","164.47","2,454.00","403,609.38","403,609.38","Information Technology","US29355A1079","NASDAQ","United States","USD"
"BFB","BROWN FORMAN CORP CLASS B","Equity","0.05","68.70","5,838.00","401,070.60","401,070.60","Consumer Staples","US1156372096","New York Stock Exchange Inc.","United States","USD"
"DOV","DOVER CORP","Equity","0.05","139.49","2,868.00","400,057.32","400,057.32","Industrials","US2600031080","New York Stock Exchange Inc.","United States","USD"
"BBY","BEST BUY INC","Equity","0.05","93.58","4,271.00","399,680.18","399,680.18","Consumer Discretionary","US0865161014","New York Stock Exchange Inc.","United States","USD"
"TWLO","TWILIO INC CLASS A","Equity","0.05","118.92","3,357.00","399,214.44","399,214.44","Information Technology","US90138F1021","New York Stock Exchange Inc.","United States","USD"
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","0.05","452.89","879.00","398,090.31","398,090.31","Information Technology","US8793601050","New York Stock Exchange Inc.","United States","USD"
"MTCH","MATCH GROUP INC","Equity","0.05","81.60","4,865.00","396,984.00","396,984.00","Communication","US57667L1070","NASDAQ","United States","USD"
"GPC","GENUINE PARTS","Equity","0.05","133.19","2,954.00","393,443.26","393,443.26","Consumer Discretionary","US3724601055","New York Stock Exchange Inc.","United States","USD"
"SPLK","SPLUNK INC","Equity","0.05","126.35","3,112.00","393,201.20","393,201.20","Information Technology","US8486371045","NASDAQ","United States","USD"
"SWK","STANLEY BLACK & DECKER INC","Equity","0.05","127.13","3,076.00","391,051.88","391,051.88","Industrials","US8545021011","New York Stock Exchange Inc.","United States","USD"
"RF","REGIONS FINANCIAL CORP","Equity","0.05","21.34","18,279.00","390,073.86","390,073.86","Financials","US7591EP1005","New York Stock Exchange Inc.","United States","USD"
"SWKS","SKYWORKS SOLUTIONS INC","Equity","0.05","117.65","3,316.00","390,127.40","390,127.40","Information Technology","US83088M1027","NASDAQ","United States","USD"
"MKL","MARKEL CORP","Equity","0.05","1,397.83","278.00","388,596.74","388,596.74","Financials","US5705351048","New York Stock Exchange Inc.","United States","USD"
"SUI","SUN COMMUNITIES REIT INC","Equity","0.05","183.33","2,117.00","388,109.61","388,109.61","Real Estate","US8666741041","New York Stock Exchange Inc.","United States","USD"
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.05","382.98","1,010.00","386,809.80","386,809.80","Information Technology","US9892071054","NASDAQ","United States","USD"
"HBAN","HUNTINGTON BANCSHARES INC","Equity","0.05","13.58","28,127.00","381,964.66","381,964.66","Financials","US4461501045","NASDAQ","United States","USD"
"KEY","KEYCORP","Equity","0.05","20.03","18,994.00","380,449.82","380,449.82","Financials","US4932671088","New York Stock Exchange Inc.","United States","USD"
"NDAQ","NASDAQ INC","Equity","0.05","162.55","2,318.00","376,790.90","376,790.90","Financials","US6311031081","NASDAQ","United States","USD"
"K","KELLOGG","Equity","0.05","69.55","5,380.00","374,179.00","374,179.00","Consumer Staples","US4878361082","New York Stock Exchange Inc.","United States","USD"
"CEG","CONSTELLATION ENERGY CORP","Equity","0.05","61.31","6,102.00","374,113.62","374,113.62","Utilities","US21037T1097","NASDAQ","United States","USD"
"AMCR","AMCOR PLC","Equity","0.05","12.14","30,646.00","372,042.44","372,042.44","Materials","JE00BJ1F3079","New York Stock Exchange Inc.","United States","USD"
"OKTA","OKTA INC CLASS A","Equity","0.05","131.70","2,825.00","372,052.50","372,052.50","Information Technology","US6792951054","NASDAQ","United States","USD"
"CMS","CMS ENERGY CORP","Equity","0.05","70.87","5,239.00","371,287.93","371,287.93","Utilities","US1258961002","New York Stock Exchange Inc.","United States","USD"
"VICI","VICI PPTYS INC","Equity","0.05","30.64","12,025.00","368,446.00","368,446.00","Real Estate","US9256521090","New York Stock Exchange Inc.","United States","USD"
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.05","123.53","2,952.00","364,660.56","364,660.56","Real Estate","US1011211018","New York Stock Exchange Inc.","United States","USD"
"HOLX","HOLOGIC INC","Equity","0.05","71.40","5,077.00","362,497.80","362,497.80","Health Care","US4364401012","NASDAQ","United States","USD"
"PCG","PG&E CORP","Equity","0.05","12.93","27,878.00","360,462.54","360,462.54","Utilities","US69331C1080","New York Stock Exchange Inc.","United States","USD"
"LYV","LIVE NATION ENTERTAINMENT INC","Equity","0.05","107.92","3,337.00","360,129.04","360,129.04","Communication","US5380341090","New York Stock Exchange Inc.","United States","USD"
"TER","TERADYNE INC","Equity","0.05","111.68","3,223.00","359,944.64","359,944.64","Information Technology","US8807701029","NASDAQ","United States","USD"
"FTV","FORTIVE CORP","Equity","0.05","58.64","6,123.00","359,052.72","359,052.72","Industrials","US34959J1088","New York Stock Exchange Inc.","United States","USD"
"IR","INGERSOLL RAND INC","Equity","0.05","45.08","7,958.00","358,746.64","358,746.64","Industrials","US45687V1061","New York Stock Exchange Inc.","United States","USD"
"AKAM","AKAMAI TECHNOLOGIES INC","Equity","0.05","115.83","3,074.00","356,061.42","356,061.42","Information Technology","US00971T1016","NASDAQ","United States","USD"
"RCL","ROYAL CARIBBEAN GROUP LTD","Equity","0.05","80.69","4,393.00","354,471.17","354,471.17","Consumer Discretionary","LR0008862868","New York Stock Exchange Inc.","United States","USD"
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.05","70.64","4,976.00","351,504.64","351,504.64","Financials","US74251V1026","NASDAQ","United States","USD"
"J","JACOBS ENGINEERING GROUP INC","Equity","0.05","142.11","2,473.00","351,438.03","351,438.03","Industrials","US4698141078","New York Stock Exchange Inc.","United States","USD"
"CLX","CLOROX","Equity","0.05","148.34","2,368.00","351,269.12","351,269.12","Consumer Staples","US1890541097","New York Stock Exchange Inc.","United States","USD"
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.05","46.76","7,502.00","350,793.52","350,793.52","Financials","BMG0450A1053","NASDAQ","United States","USD"
"APO","APOLLO GLOBAL MANAGEMENT INC","Equity","0.05","52.31","6,695.00","350,215.45","350,215.45","Financials","US03769M1062","New York Stock Exchange Inc.","United States","USD"
"CNP","CENTERPOINT ENERGY INC","Equity","0.05","31.44","11,128.00","349,864.32","349,864.32","Utilities","US15189T1079","New York Stock Exchange Inc.","United States","USD"
"RJF","RAYMOND JAMES INC","Equity","0.05","104.04","3,360.00","349,574.40","349,574.40","Financials","US7547301090","New York Stock Exchange Inc.","United States","USD"
"COO","COOPER INC","Equity","0.05","373.16","936.00","349,277.76","349,277.76","Health Care","US2166484020","New York Stock Exchange Inc.","United States","USD"
"MOH","MOLINA HEALTHCARE INC","Equity","0.05","315.38","1,105.00","348,494.90","348,494.90","Health Care","US60855R1005","New York Stock Exchange Inc.","United States","USD"
"ZS","ZSCALER INC","Equity","0.05","213.59","1,628.00","347,724.52","347,724.52","Information Technology","US98980G1022","NASDAQ","United States","USD"
"WAT","WATERS CORP","Equity","0.05","306.12","1,134.00","347,140.08","347,140.08","Health Care","US9418481035","New York Stock Exchange Inc.","United States","USD"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Equity","0.05","102.37","3,388.00","346,829.56","346,829.56","Industrials","US3021301094","NASDAQ","United States","USD"
"DGX","QUEST DIAGNOSTICS INC","Equity","0.05","135.83","2,530.00","343,649.90","343,649.90","Health Care","US74834L1008","New York Stock Exchange Inc.","United States","USD"
"VFC","VF CORP","Equity","0.05","53.23","6,442.00","342,907.66","342,907.66","Consumer Discretionary","US9182041080","New York Stock Exchange Inc.","United States","USD"
"CAH","CARDINAL HEALTH INC","Equity","0.05","59.82","5,721.00","342,230.22","342,230.22","Health Care","US14149Y1082","New York Stock Exchange Inc.","United States","USD"
"POOL","POOL CORP","Equity","0.05","417.66","813.00","339,557.58","339,557.58","Consumer Discretionary","US73278L1052","NASDAQ","United States","USD"
"SGEN","SEAGEN INC","Equity","0.05","130.23","2,599.00","338,467.77","338,467.77","Health Care","US81181C1045","NASDAQ","United States","USD"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Equity","0.05","93.64","3,602.00","337,291.28","337,291.28","Industrials","US9297401088","New York Stock Exchange Inc.","United States","USD"
"TXT","TEXTRON INC","Equity","0.05","72.05","4,672.00","336,617.60","336,617.60","Industrials","US8832031012","New York Stock Exchange Inc.","United States","USD"
"STLD","STEEL DYNAMICS INC","Equity","0.05","89.65","3,740.00","335,291.00","335,291.00","Materials","US8581191009","NASDAQ","United States","USD"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Equity","0.05","412.49","812.00","334,941.88","334,941.88","Information Technology","US6098391054","NASDAQ","United States","USD"
"OMC","OMNICOM GROUP INC","Equity","0.05","78.67","4,255.00","334,740.85","334,740.85","Communication","US6819191064","New York Stock Exchange Inc.","United States","USD"
"DRI","DARDEN RESTAURANTS INC","Equity","0.05","133.90","2,498.00","334,482.20","334,482.20","Consumer Discretionary","US2371941053","New York Stock Exchange Inc.","United States","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Equity","0.05","82.17","4,051.00","332,870.67","332,870.67","Information Technology","IE00BKVD2N49","NASDAQ","United States","USD"
"FMC","FMC CORP","Equity","0.05","134.70","2,468.00","332,439.60","332,439.60","Materials","US3024913036","New York Stock Exchange Inc.","United States","USD"
"IP","INTERNATIONAL PAPER","Equity","0.04","47.48","6,954.00","330,175.92","330,175.92","Materials","US4601461035","New York Stock Exchange Inc.","United States","USD"
"HUBS","HUBSPOT INC","Equity","0.04","398.48","827.00","329,542.96","329,542.96","Information Technology","US4435731009","New York Stock Exchange Inc.","United States","USD"
"NTAP","NETAPP INC","Equity","0.04","75.00","4,387.00","329,025.00","329,025.00","Information Technology","US64110D1046","NASDAQ","United States","USD"
"TRU","TRANSUNION","Equity","0.04","90.89","3,619.00","328,930.91","328,930.91","Industrials","US89400J1079","New York Stock Exchange Inc.","United States","USD"
"PEAK","HEALTHPEAK PROPERTIES INC","Equity","0.04","34.24","9,567.00","327,574.08","327,574.08","Real Estate","US42250P1030","New York Stock Exchange Inc.","United States","USD"
"LBRDK","LIBERTY BROADBAND CORP SERIES C","Equity","0.04","118.90","2,747.00","326,618.30","326,618.30","Communication","US5303073051","NASDAQ","United States","USD"
"WDC","WESTERN DIGITAL CORP","Equity","0.04","52.61","6,194.00","325,866.34","325,866.34","Information Technology","US9581021055","NASDAQ","United States","USD"
"TRMB","TRIMBLE INC","Equity","0.04","67.95","4,755.00","323,102.25","323,102.25","Information Technology","US8962391004","NASDAQ","United States","USD"
"DOCU","DOCUSIGN INC","Equity","0.04","85.37","3,771.00","321,930.27","321,930.27","Information Technology","US2561631068","NASDAQ","United States","USD"
"CAG","CONAGRA BRANDS INC","Equity","0.04","35.92","8,963.00","321,950.96","321,950.96","Consumer Staples","US2058871029","New York Stock Exchange Inc.","United States","USD"
"PODD","INSULET CORP","Equity","0.04","237.96","1,351.00","321,483.96","321,483.96","Health Care","US45784P1012","NASDAQ","United States","USD"
"GRMN","GARMIN LTD","Equity","0.04","110.64","2,899.00","320,745.36","320,745.36","Consumer Discretionary","CH0114405324","New York Stock Exchange Inc.","United States","USD"
"PARA","PARAMOUNT GLOBAL CLASS B","Equity","0.04","29.05","10,999.00","319,520.95","319,520.95","Communication","US92556H2067","NASDAQ","United States","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Equity","0.04","10.95","29,120.00","318,864.00","318,864.00","Information Technology","US69608A1088","New York Stock Exchange Inc.","United States","USD"
"MGM","MGM RESORTS INTERNATIONAL","Equity","0.04","42.11","7,518.00","316,582.98","316,582.98","Consumer Discretionary","US5529531015","New York Stock Exchange Inc.","United States","USD"
"EPAM","EPAM SYSTEMS INC","Equity","0.04","281.00","1,124.00","315,844.00","315,844.00","Information Technology","US29414B1044","New York Stock Exchange Inc.","United States","USD"
"UDR","UDR REIT INC","Equity","0.04","56.18","5,569.00","312,866.42","312,866.42","Real Estate","US9026531049","New York Stock Exchange Inc.","United States","USD"
"KIM","KIMCO REALTY REIT CORP","Equity","0.04","26.35","11,790.00","310,666.50","310,666.50","Real Estate","US49446R1095","New York Stock Exchange Inc.","United States","USD"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.04","150.22","2,054.00","308,551.88","308,551.88","Information Technology","US11133T1034","New York Stock Exchange Inc.","United States","USD"
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.04","40.30","7,639.00","307,851.70","307,851.70","Financials","US1746101054","New York Stock Exchange Inc.","United States","USD"
"CE","CELANESE CORP","Equity","0.04","142.93","2,151.00","307,442.43","307,442.43","Materials","US1508701034","New York Stock Exchange Inc.","United States","USD"
"PKI","PERKINELMER INC","Equity","0.04","146.41","2,086.00","305,411.26","305,411.26","Health Care","US7140461093","New York Stock Exchange Inc.","United States","USD"
"IRM","IRON MOUNTAIN INC","Equity","0.04","55.71","5,475.00","305,012.25","305,012.25","Real Estate","US46284V1017","New York Stock Exchange Inc.","United States","USD"
"EVRG","EVERGY INC","Equity","0.04","69.73","4,374.00","304,999.02","304,999.02","Utilities","US30034W1062","New York Stock Exchange Inc.","United States","USD"
"WRB","WR BERKLEY CORP","Equity","0.04","68.75","4,420.00","303,875.00","303,875.00","Financials","US0844231029","New York Stock Exchange Inc.","United States","USD"
"AVTR","AVANTOR INC","Equity","0.04","29.79","10,201.00","303,887.79","303,887.79","Health Care","US05352A1007","New York Stock Exchange Inc.","United States","USD"
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.04","419.37","724.00","303,623.88","303,623.88","Financials","US3030751057","New York Stock Exchange Inc.","United States","USD"
"BRO","BROWN & BROWN INC","Equity","0.04","65.77","4,603.00","302,739.31","302,739.31","Financials","US1152361010","New York Stock Exchange Inc.","United States","USD"
"CTLT","CATALENT INC","Equity","0.04","89.90","3,360.00","302,064.00","302,064.00","Health Care","US1488061029","New York Stock Exchange Inc.","United States","USD"
"HRL","HORMEL FOODS CORP","Equity","0.04","53.53","5,641.00","301,962.73","301,962.73","Consumer Staples","US4404521001","New York Stock Exchange Inc.","United States","USD"
"CPT","CAMDEN PROPERTY TRUST REIT","Equity","0.04","162.15","1,861.00","301,761.15","301,761.15","Real Estate","US1331311027","New York Stock Exchange Inc.","United States","USD"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Equity","0.04","143.16","2,106.00","301,494.96","301,494.96","Health Care","US02043Q1076","NASDAQ","United States","USD"
"AVY","AVERY DENNISON CORP","Equity","0.04","183.57","1,622.00","297,750.54","297,750.54","Materials","US0536111091","New York Stock Exchange Inc.","United States","USD"
"GDDY","GODADDY INC CLASS A","Equity","0.04","87.33","3,403.00","297,183.99","297,183.99","Information Technology","US3802371076","New York Stock Exchange Inc.","United States","USD"
"ENTG","ENTEGRIS INC","Equity","0.04","114.95","2,582.00","296,800.90","296,800.90","Information Technology","US29362U1043","NASDAQ","United States","USD"
"TYL","TYLER TECHNOLOGIES INC","Equity","0.04","403.66","727.00","293,460.82","293,460.82","Information Technology","US9022521051","New York Stock Exchange Inc.","United States","USD"
"SBNY","SIGNATURE BANK","Equity","0.04","251.54","1,164.00","292,792.56","292,792.56","Financials","US82669G1040","NASDAQ","United States","USD"
"SJM","JM SMUCKER","Equity","0.04","141.03","2,071.00","292,073.13","292,073.13","Consumer Staples","US8326964058","New York Stock Exchange Inc.","United States","USD"
"BMRN","BIOMARIN PHARMACEUTICAL INC","Equity","0.04","82.64","3,496.00","288,909.44","288,909.44","Health Care","US09061G1013","NASDAQ","United States","USD"
"EMN","EASTMAN CHEMICAL","Equity","0.04","107.39","2,682.00","288,019.98","288,019.98","Materials","US2774321002","New York Stock Exchange Inc.","United States","USD"
"ATO","ATMOS ENERGY CORP","Equity","0.04","116.81","2,459.00","287,235.79","287,235.79","Utilities","US0495601058","New York Stock Exchange Inc.","United States","USD"
"CHRW","CH ROBINSON WORLDWIDE INC","Equity","0.04","110.34","2,599.00","286,773.66","286,773.66","Industrials","US12541W2098","NASDAQ","United States","USD"
"INCY","INCYTE CORP","Equity","0.04","75.40","3,770.00","284,258.00","284,258.00","Health Care","US45337C1027","NASDAQ","United States","USD"
"TECH","BIO TECHNE CORP","Equity","0.04","386.89","731.00","282,816.59","282,816.59","Health Care","US09073M1045","NASDAQ","United States","USD"
"WPC","W. P. CAREY REIT INC","Equity","0.04","85.84","3,292.00","282,585.28","282,585.28","Real Estate","US92936U1097","New York Stock Exchange Inc.","United States","USD"
"RPRX","ROYALTY PHARMA PLC CLASS A","Equity","0.04","43.55","6,483.00","282,334.65","282,334.65","Health Care","GB00BMVP7Y09","NASDAQ","United States","USD"
"JBHT","JB HUNT TRANSPORT SERVICES INC","Equity","0.04","174.59","1,612.00","281,439.08","281,439.08","Industrials","US4456581077","NASDAQ","United States","USD"
"GNRC","GENERAC HOLDINGS INC","Equity","0.04","233.32","1,204.00","280,917.28","280,917.28","Industrials","US3687361044","New York Stock Exchange Inc.","United States","USD"
"BG","BUNGE LTD","Equity","0.04","116.83","2,390.00","279,223.70","279,223.70","Consumer Staples","BMG169621056","New York Stock Exchange Inc.","United States","USD"
"L","LOEWS CORP","Equity","0.04","64.58","4,322.00","279,114.76","279,114.76","Financials","US5404241086","New York Stock Exchange Inc.","United States","USD"
"NVR","NVR INC","Equity","0.04","4,492.81","62.00","278,554.22","278,554.22","Consumer Discretionary","US62944T1051","New York Stock Exchange Inc.","United States","USD"
"SSNC","SS AND C TECHNOLOGIES HOLDINGS INC","Equity","0.04","69.04","4,029.00","278,162.16","278,162.16","Information Technology","US78467J1007","NASDAQ","United States","USD"
"HST","HOST HOTELS & RESORTS REIT INC","Equity","0.04","21.24","13,067.00","277,543.08","277,543.08","Real Estate","US44107P1049","NASDAQ","United States","USD"
"TFX","TELEFLEX INC","Equity","0.04","295.50","937.00","276,883.50","276,883.50","Health Care","US8793691069","New York Stock Exchange Inc.","United States","USD"
"PAYC","PAYCOM SOFTWARE INC","Equity","0.04","295.34","936.00","276,438.24","276,438.24","Information Technology","US70432V1026","New York Stock Exchange Inc.","United States","USD"
"ALLY","ALLY FINANCIAL INC","Equity","0.04","41.55","6,634.00","275,642.70","275,642.70","Financials","US02005N1000","New York Stock Exchange Inc.","United States","USD"
"AAP","ADVANCE AUTO PARTS INC","Equity","0.04","209.39","1,316.00","275,557.24","275,557.24","Consumer Discretionary","US00751Y1064","New York Stock Exchange Inc.","United States","USD"
"XYL","XYLEM INC","Equity","0.04","83.41","3,302.00","275,419.82","275,419.82","Industrials","US98419M1009","New York Stock Exchange Inc.","United States","USD"
"KMX","CARMAX INC","Equity","0.04","89.10","3,089.00","275,229.90","275,229.90","Consumer Discretionary","US1431301027","New York Stock Exchange Inc.","United States","USD"
"NLOK","NORTONLIFELOCK INC","Equity","0.04","25.74","10,642.00","273,925.08","273,925.08","Information Technology","US6687711084","NASDAQ","United States","USD"
"MAS","MASCO CORP","Equity","0.04","55.06","4,962.00","273,207.72","273,207.72","Industrials","US5745991068","New York Stock Exchange Inc.","United States","USD"
"BBWI","BATH AND BODY WORKS INC","Equity","0.04","54.36","5,010.00","272,343.60","272,343.60","Consumer Discretionary","US0708301041","New York Stock Exchange Inc.","United States","USD"
"LNT","ALLIANT ENERGY CORP","Equity","0.04","61.23","4,403.00","269,595.69","269,595.69","Utilities","US0188021085","NASDAQ","United States","USD"
"JKHY","JACK HENRY AND ASSOCIATES INC","Equity","0.04","194.63","1,385.00","269,562.55","269,562.55","Information Technology","US4262811015","NASDAQ","United States","USD"
"ABMD","ABIOMED INC","Equity","0.04","287.22","936.00","268,837.92","268,837.92","Health Care","US0036541003","NASDAQ","United States","USD"
"BURL","BURLINGTON STORES INC","Equity","0.04","213.54","1,255.00","267,992.70","267,992.70","Consumer Discretionary","US1220171060","New York Stock Exchange Inc.","United States","USD"
"CZR","CAESARS ENTERTAINMENT INC","Equity","0.04","67.39","3,967.00","267,336.13","267,336.13","Consumer Discretionary","US12769G1004","NASDAQ","United States","USD"
"LDOS","LEIDOS HOLDINGS INC","Equity","0.04","105.03","2,544.00","267,196.32","267,196.32","Industrials","US5253271028","New York Stock Exchange Inc.","United States","USD"
"ZEN","ZENDESK INC","Equity","0.04","120.77","2,204.00","266,177.08","266,177.08","Information Technology","US98936J1016","New York Stock Exchange Inc.","United States","USD"
"IEX","IDEX CORP","Equity","0.04","195.94","1,356.00","265,694.64","265,694.64","Industrials","US45167R1041","New York Stock Exchange Inc.","United States","USD"
"PKG","PACKAGING CORP OF AMERICA","Equity","0.04","162.85","1,630.00","265,445.50","265,445.50","Materials","US6951561090","New York Stock Exchange Inc.","United States","USD"
"CCK","CROWN HOLDINGS INC","Equity","0.04","111.12","2,382.00","264,687.84","264,687.84","Materials","US2283681060","New York Stock Exchange Inc.","United States","USD"
"CCL","CARNIVAL CORP","Equity","0.04","17.83","14,845.00","264,686.35","264,686.35","Consumer Discretionary","PA1436583006","New York Stock Exchange Inc.","United States","USD"
"ZI","ZOOMINFO TECHNOLOGIES INC CLASS A","Equity","0.04","48.95","5,399.00","264,281.05","264,281.05","Communication","US98980F1049","NASDAQ","United States","USD"
"LKQ","LKQ CORP","Equity","0.04","51.12","5,143.00","262,910.16","262,910.16","Consumer Discretionary","US5018892084","NASDAQ","United States","USD"
"HWM","HOWMET AEROSPACE INC","Equity","0.04","34.95","7,431.00","259,713.45","259,713.45","Industrials","US4432011082","New York Stock Exchange Inc.","United States","USD"
"BILL","BILL COM HOLDINGS INC","Equity","0.04","182.70","1,421.00","259,616.70","259,616.70","Information Technology","US0900431000","New York Stock Exchange Inc.","United States","USD"
"ELS","EQUITY LIFESTYLE PROPERTIES REIT I","Equity","0.04","80.43","3,218.00","258,823.74","258,823.74","Real Estate","US29472R1086","New York Stock Exchange Inc.","United States","USD"
"CBOE","CBOE GLOBAL MARKETS INC","Equity","0.03","115.27","2,228.00","256,821.56","256,821.56","Financials","US12503M1080","Cboe BZX formerly known as BATS","United States","USD"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Equity","0.03","123.23","2,073.00","255,455.79","255,455.79","Communication","US8740541094","NASDAQ","United States","USD"
"AES","AES CORP","Equity","0.03","21.04","12,078.00","254,121.12","254,121.12","Utilities","US00130H1059","New York Stock Exchange Inc.","United States","USD"
"LVS","LAS VEGAS SANDS CORP","Equity","0.03","35.68","7,036.00","251,044.48","251,044.48","Consumer Discretionary","US5178341070","New York Stock Exchange Inc.","United States","USD"
"QRVO","QORVO INC","Equity","0.03","117.08","2,114.00","247,507.12","247,507.12","Information Technology","US74736K1016","NASDAQ","United States","USD"
"REG","REGENCY CENTERS REIT CORP","Equity","0.03","71.93","3,430.00","246,719.90","246,719.90","Real Estate","US7588491032","NASDAQ","United States","USD"
"DPZ","DOMINOS PIZZA INC","Equity","0.03","353.88","695.00","245,946.60","245,946.60","Consumer Discretionary","US25754A2015","New York Stock Exchange Inc.","United States","USD"
"ETSY","ETSY INC","Equity","0.03","101.88","2,394.00","243,900.72","243,900.72","Consumer Discretionary","US29786A1060","NASDAQ","United States","USD"
"SEDG","SOLAREDGE TECHNOLOGIES INC","Equity","0.03","254.41","956.00","243,215.96","243,215.96","Information Technology","US83417M1045","NASDAQ","United States","USD"
"DELL","DELL TECHNOLOGIES INC CLASS C","Equity","0.03","48.12","5,016.00","241,369.92","241,369.92","Information Technology","US24703L2025","New York Stock Exchange Inc.","United States","USD"
"MPW","MEDICAL PROPERTIES TRUST REIT INC","Equity","0.03","18.73","12,774.00","239,257.02","239,257.02","Real Estate","US58463J3041","New York Stock Exchange Inc.","United States","USD"
"FOXA","FOX CORP CLASS A","Equity","0.03","36.54","6,534.00","238,752.36","238,752.36","Communication","US35137L1052","NASDAQ","United States","USD"
"HSIC","HENRY SCHEIN INC","Equity","0.03","83.37","2,852.00","237,771.24","237,771.24","Health Care","US8064071025","NASDAQ","United States","USD"
"PTC","PTC INC","Equity","0.03","114.39","2,076.00","237,473.64","237,473.64","Information Technology","US69370C1009","NASDAQ","United States","USD"
"IPG","INTERPUBLIC GROUP OF COMPANIES INC","Equity","0.03","34.10","6,953.00","237,097.30","237,097.30","Communication","US4606901001","New York Stock Exchange Inc.","United States","USD"
"VTRS","VIATRIS INC","Equity","0.03","10.49","22,586.00","236,927.14","236,927.14","Health Care","US92556V1061","NASDAQ","United States","USD"
"FWONK","LIBERTY MEDIA FORMULA ONE CORP SER","Equity","0.03","64.59","3,631.00","234,526.29","234,526.29","Communication","US5312298541","NASDAQ","United States","USD"
"NDSN","NORDSON CORP","Equity","0.03","220.64","1,053.00","232,333.92","232,333.92","Industrials","US6556631025","NASDAQ","United States","USD"
"SNA","SNAP ON INC","Equity","0.03","220.24","1,052.00","231,692.48","231,692.48","Industrials","US8330341012","New York Stock Exchange Inc.","United States","USD"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Equity","0.03","242.17","952.00","230,545.84","230,545.84","Health Care","US1598641074","New York Stock Exchange Inc.","United States","USD"
"PINS","PINTEREST INC CLASS A","Equity","0.03","21.20","10,826.00","229,511.20","229,511.20","Communication","US72352L1061","New York Stock Exchange Inc.","United States","USD"
